Iteration   	global_p_001_001	global_p_001_002	global_p_001_003	global_p_001_004	global_p_001_005	global_p_001_006	global_p_001_007	global_p_001_008	global_p_001_009	global_p_001_010	global_p_002_001	global_p_002_002	global_p_002_003	global_p_003_001	global_p_004_001	global_p_006_001	global_p_006_002	global_p_006_003	global_p_006_004	global_p_006_005	global_p_006_006	global_p_006_007	global_p_006_008	global_p_006_009	global_p_006_010	global_p_006_011	global_p_007_001	global_p_007_002	global_p_008_001	global_p_009_001	global_p_011_001	global_p_011_002	global_p_011_003	global_p_011_004	global_p_011_005	global_p_011_006	global_p_011_007	global_p_012_001	global_p_012_002	global_p_012_003	global_p_012_004	global_p_013_001	global_p_013_002	global_p_013_003	global_p_014_001	global_p_014_002	global_p_014_003	global_p_014_004	global_p_015_001	global_p_015_002	global_p_015_003	global_p_016_001	global_p_016_002	global_p_017_001	global_p_017_002	global_p_017_003	global_p_017_004	global_p_018_001	global_p_018_002	global_p_018_003	global_p_018_004	global_p_019_001+	global_p_020_001+	global_p_020_002	global_p_020_003	global_p_020_004	global_p_021_001+	global_p_022_001+	global_p_023_001+	global_p_024_001	global_p_024_002	global_p_024_003	global_p_024_004	global_p_024_005	global_p_024_006	global_p_024_007	global_p_024_008	global_p_025_001	global_p_025_002	global_p_025_003	global_p_026_001	global_p_026_002	global_p_026_003	global_p_026_004	global_p_026_005	global_p_026_006	global_p_026_007	global_p_026_008	global_p_027_001	global_p_027_002	global_p_027_003	global_p_027_004	global_p_028_001	global_p_029_001	global_p_029_002	global_p_029_003	global_p_029_004	global_p_029_005	global_p_029_006	global_p_030_001	global_p_030_002	global_p_030_003	global_p_030_004	global_p_030_005	global_p_031_001	global_p_031_002	global_p_031_003	global_p_032_001	global_p_032_002	global_p_033_001	global_p_033_002	global_p_033_003	global_p_034_001	global_p_034_002	global_p_035_001	DLEVF       
      0     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	9.580000e-01	9.250000e-01	2.000000e+01	8.000000e-04	5.000000e+00	7.576000e-01	6.100000e-01	5.430000e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	0.000000e+00
      1     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	9.581005e-01	9.245381e-01	2.000000e+01	8.000000e-04	5.000000e+00	7.573449e-01	6.102212e-01	5.430224e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	5.189253e+01
      2     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	9.591027e-01	9.199259e-01	2.000000e+01	8.000000e-04	5.000000e+00	7.547998e-01	6.124339e-01	5.432461e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	5.188215e+01
      3     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	9.687537e-01	8.743758e-01	2.000000e+01	8.000000e-04	5.000000e+00	7.297475e-01	6.347247e-01	5.454958e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	5.169636e+01
      4     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	1.067302e+00	5.176739e-01	2.000000e+01	8.000000e-04	5.000000e+00	5.224180e-01	8.463498e-01	5.631478e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	5.553567e+01
      5     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	1.354593e+00	5.674843e-01	2.000000e+01	8.000000e-04	5.000000e+00	5.183719e-01	7.391300e-01	5.232567e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	5.934939e+01
      6     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	2.075042e+00	5.988194e-01	2.000000e+01	8.000000e-04	5.000000e+00	5.658739e-01	7.261690e-01	4.556452e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	6.657179e+01
      7     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	2.057595e+00	5.899017e-01	2.000000e+01	8.000000e-04	5.000000e+00	5.833209e-01	7.237516e-01	4.566370e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	6.627810e+01
      8     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	1.915497e+00	5.290985e-01	2.000000e+01	8.000000e-04	5.000000e+00	7.386413e-01	6.920685e-01	4.633220e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	6.530731e+01
      9     	7.309920e+03	7.309920e+03	1.922000e+02	1.000000e+01	2.371000e+00	1.000000e+00	4.760000e-03	1.904000e-01	3.000000e-04	5.000000e+00	5.000000e+00	2.143000e+00	7.485100e+01	6.894900e+01	1.833600e+02	2.213000e+04	9.581000e+01	5.000000e+00	7.000000e+01	3.000000e+00	1.000000e+01	3.000000e+00	5.700000e-02	2.720000e-01	3.000000e-04	3.000000e+00	3.529000e+00	1.142500e+02	6.102900e+01	1.383000e+02	2.190000e-01	3.000000e+00	5.000000e+00	1.343000e+00	1.235000e+00	5.000000e+00	2.000000e-01	3.663000e+00	6.080000e-01	3.000000e+00	1.221000e+00	4.882000e+00	2.726000e+00	3.689000e+00	1.220000e-01	1.000000e+01	1.220600e+02	5.000000e+00	1.220600e+01	2.000000e+00	3.327500e+02	1.220600e+02	6.000000e+00	7.984000e+00	3.000000e+00	1.000000e+01	1.220600e+01	1.208000e+00	2.000000e-02	1.000000e+01	1.221000e+00	1.826074e+00	5.109645e-01	2.000000e+01	8.000000e-04	5.000000e+00	7.784602e-01	7.041793e-01	4.676786e-01	5.155800e+01	2.094500e+00	9.280000e+00	3.480270e+03	9.720000e-01	1.713710e+03	8.675140e+03	5.235000e+00	9.430000e-01	7.616400e+02	5.130000e+00	1.445000e+00	2.285000e+00	6.000000e+01	1.800000e+02	2.821100e+01	1.940700e+02	1.142500e+02	4.287000e+00	8.994300e+01	4.474700e+02	1.322402e+05	1.724500e+02	1.990000e-01	1.600000e+01	3.000000e+00	2.000000e+00	1.000000e+00	2.200000e+02	1.000000e+01	5.593000e-03	2.200000e+02	2.000000e+00	9.600000e+00	1.000000e+00	3.221800e+02	6.443500e+02	4.470000e-01	3.222000e+00	3.221800e+01	8.949000e-05	3.221800e+01	8.950000e-02	3.221800e+01	3.222000e+00	8.950000e-03	6.449678e+01
